City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bathsheba,13.22,-59.52,86,66,40,18.34,BB,1604348424
Ust'-Omchug,61.15,149.63,13.26,94,100,6.93,RU,1604348425
Usinsk,65.99,57.53,32.61,96,100,17.69,RU,1604348425
Mahon,39.89,4.27,62.6,82,40,6.93,ES,1604348425
Marfino,55.7,37.38,43,93,90,11.18,RU,1604348425
Boffa,10.17,-14.03,79.07,85,0,4.52,GN,1604348426
Acapulco de Juárez,16.86,-99.89,86,74,20,12.75,MX,1604348178
Carlsbad,33.16,-117.35,81,68,1,9.17,US,1604348427
Berlevåg,70.86,29.09,35.6,85,75,27.51,NO,1604348427
Mazatlán,23.22,-106.42,91.4,46,5,6.93,MX,1604348427
Wasaga Beach,44.52,-80.02,39.2,60,100,8.05,CA,1604348428
Hirara,24.8,125.28,76.26,78,100,31.36,JP,1604348428
Kincardine,56.07,-3.72,46,93,20,6.93,GB,1604348428
Aykino,62.22,49.99,26.67,95,37,6.08,RU,1604348429
Chancay,-11.57,-77.27,69.01,72,20,8.05,PE,1604348429
Dicabisagan,17.08,122.42,77.31,87,100,7.14,PH,1604348430
Corinth,37.94,22.96,60.01,65,87,3,GR,1604348278
Elda,38.48,-0.79,62.01,75,0,0.96,ES,1604348430
Layou,13.2,-61.27,77,78,75,5.82,VC,1604348430
Alofi,-19.06,-169.92,77,94,75,14.99,NU,1604348431
Las Compuertas,25.45,-108.35,97,22,0,8.01,MX,1604348431
Hualmay,-11.1,-77.61,68.02,64,100,8.84,PE,1604348432
Poum,-20.23,164.02,77.14,78,100,6.08,NC,1604348432
Maragogi,-9.01,-35.22,78.82,78,41,13.73,BR,1604348432
Tazovsky,67.47,78.7,19.15,98,99,12.48,RU,1604348432
Latung,5.5,120.88,82.72,81,99,11.65,PH,1604348433
Tuatapere,-46.13,167.68,48.7,69,94,1.83,NZ,1604348433
Faanui,-16.48,-151.75,79.34,79,2,16.33,PF,1604348434
Verkhoyansk,67.54,133.38,-17.41,81,0,2.59,RU,1604348434
Bilma,18.69,12.92,74.52,21,0,8.3,NE,1604348434
Bagdarin,54.43,113.6,6.3,78,0,2.33,RU,1604348435
Los Llanos de Aridane,28.66,-17.92,73.4,73,0,10.29,ES,1604348435
Rawson,-43.3,-65.1,79.84,22,100,12.75,AR,1604348435
Acajutla,13.59,-89.83,82.4,51,40,8.05,SV,1604348143
Shakawe,-18.37,21.85,74.8,40,63,5.77,BW,1604348436
Ambon City,-3.7,128.18,81,94,100,5.14,ID,1604348436
Fort Nelson,58.81,-122.7,10.4,78,90,2.24,CA,1604348437
Caravelas,-17.71,-39.25,72.84,74,87,12.03,BR,1604348437
Bambous Virieux,-20.34,57.76,71.6,73,40,11.41,MU,1604348437
Venice,27.1,-82.45,77,50,1,20.8,US,1604348437
Bargur,12.54,78.35,69.93,88,0,1.48,IN,1604348438
Geraldton,-28.77,114.6,59,93,75,8.05,AU,1604348438
Yārāda,17.65,83.27,80.6,94,75,2.24,IN,1604348438
Eydhafushi,5.1,73.07,82.72,72,5,6.49,MV,1604348439
Flinders,-34.58,150.86,57,89,14,1.01,AU,1604348439
Puerto Escondido,15.85,-97.07,87.89,52,100,5.17,MX,1604348439
Padang,-0.95,100.35,77.56,75,100,3.8,ID,1604348439
Lindi,-10,39.72,75.2,88,20,5.82,TZ,1604348440
Neuquén,-38.95,-68.06,95,15,0,4.7,AR,1604348360
San Cosme y Damián,-27.32,-56.35,87.8,22,40,6.93,PY,1604348440
Nantucket,41.28,-70.1,42.8,48,75,21.92,US,1604348441
Laas,46.62,10.7,46.4,87,5,3.36,IT,1604348441
Songyang,34.46,113.03,51.01,99,52,3.24,CN,1604348441
Nālūt,30.33,10.85,63.46,40,0,10.04,LY,1604348441
Lárdos,36.09,28.02,68,59,20,2.24,GR,1604348241
Tura,25.52,90.22,70.7,90,36,1.54,IN,1604348442
Nur-Sultan,51.18,71.45,30.2,86,90,4.47,KZ,1604348393
Palamós,41.85,3.13,61,51,62,5.37,ES,1604348443
Esperance,-33.87,121.9,57.2,100,90,14.99,AU,1604348443
Beaumont,30.09,-94.1,71.6,30,1,9.17,US,1604348414
Makakilo City,21.35,-158.09,82,69,1,4.7,US,1604348443
Yairipok,24.67,94.07,64.35,95,70,0.85,IN,1604348444
Bahía de Caráquez,-0.6,-80.42,78.8,78,75,12.75,EC,1604348444
Lebaksiu,-7.05,109.14,74.34,84,19,4.97,ID,1604348445
Santa Maria,-29.68,-53.81,77,38,20,14.99,BR,1604348445
Pavlodar,52.3,76.95,32,94,90,6.71,KZ,1604348445
Grand Gaube,-20.01,57.66,69.01,70,10,1.99,MU,1604348446
Cochrane,51.18,-114.47,71.6,18,90,13.87,CA,1604348229
Şag,45.65,21.18,54,100,90,5.82,RO,1604348446
Kupang,-10.17,123.58,79.27,75,100,6.62,ID,1604348447
Teya,60.38,92.63,23.43,95,94,6.06,RU,1604348447
Chapais,49.78,-74.85,21.2,73,75,6.93,CA,1604348448
Man,7.41,-7.55,73.98,84,94,1.54,CI,1604348448
Jiuquan,39.74,98.52,33.24,73,0,1.74,CN,1604348449
Lumut,4.23,100.63,75.2,94,20,4.16,MY,1604348449
Saint-Philippe,-21.36,55.77,73.4,53,90,6.93,RE,1604348450
Arrecife,28.96,-13.55,71.6,78,20,12.75,ES,1604348450
Guerrero Negro,27.98,-114.06,78.94,48,0,13.94,MX,1604348451
Povenets,62.85,34.83,42.66,84,100,21.14,RU,1604348451
Kondinskoye,59.65,67.41,23,98,9,6.76,RU,1604348451
Turan,16.07,108.22,71.6,94,75,2.24,VN,1604348426
Makurdi,7.74,8.51,80.04,62,100,2.17,NG,1604348452
Khao Wong,16.7,104.09,70.25,83,87,8.21,TH,1604348452
Zhoukou,33.63,114.63,49.17,43,29,4.97,CN,1604348453
Antsirabe,-19.85,47.03,60.49,62,7,1.52,MG,1604348453
Hofn,64.25,-15.21,41,48,75,10.29,IS,1604348453
Yuancheng,36.65,107.79,37.51,65,18,2.57,CN,1604348453
Cairns,-16.92,145.77,77,78,40,9.17,AU,1604348454
Iğdır,39.92,44.05,53.6,62,20,1.12,TR,1604348454
Leningradskiy,69.38,178.42,16.16,85,100,3.65,RU,1604348455
Kadoma,34.73,135.58,57.99,57,100,9.75,JP,1604348455
La Troncal,-2.4,-79.33,84.2,20,20,21.92,EC,1604348455
Half Moon Bay,37.46,-122.43,77,40,5,3.36,US,1604348307
Kapit,2.02,112.93,73.4,95,100,2.01,MY,1604348456
Oranmore,53.27,-8.92,46.4,70,40,11.41,IE,1604348456
Lavrentiya,65.58,-171,19.53,87,0,3.91,RU,1604348457
Bǝrdǝ,40.37,47.13,64.4,72,90,13.87,AZ,1604348457
Darnah,32.77,22.64,69.55,64,100,9.53,LY,1604348457
Sørland,67.67,12.69,46.4,93,75,9.17,NO,1604348458
Schifferstadt,49.39,8.37,66.2,68,0,6.93,DE,1604348458
Kaeo,-35.1,173.78,66.99,86,100,8.99,NZ,1604348458
Wakefield,53.68,-1.5,46,91,88,18.16,GB,1604348459
Erenhot,43.65,111.98,24.22,76,0,4.65,CN,1604348459
Anadyr,64.75,177.48,15.8,85,90,4.47,RU,1604348459
Davila,18.47,120.58,78.08,79,100,20.13,PH,1604348460
Cidreira,-30.18,-50.21,65.86,56,0,8.95,BR,1604348460
Provincia di Ancona,43.55,13.17,55.99,93,100,1.12,IT,1604348460
Suining,30.51,105.57,56.23,92,100,3.62,CN,1604348461
Dalvik,65.97,-18.53,41,48,75,14.99,IS,1604348461
Ternate,0.8,127.4,77.88,85,100,5.61,ID,1604348461
Iqaluit,63.75,-68.51,17.6,67,75,13.87,CA,1604348462
Severnoye,56.35,78.36,30.45,99,100,6.51,RU,1604348462
Velikiy Ustyug,60.76,46.31,28.71,97,23,6.91,RU,1604348463
Tashla,51.77,52.74,42.87,64,85,7.92,RU,1604348464
Cayenne,4.93,-52.33,78.8,94,20,4.7,GF,1604348464
Bouaké,7.69,-5.02,77.09,75,86,2.62,CI,1604348464
Berbera,10.44,45.01,80.01,65,0,4.59,SO,1604348465
Cartagena,10.4,-75.51,82.76,80,43,10.98,CO,1604348451
Mt. Pleasant,32.79,-79.86,57.99,28,1,11.41,US,1604348227
Mabaruma,8.2,-59.78,71.38,98,100,2.24,GY,1604348466
Marawi,8,124.29,73,91,100,5.01,PH,1604348466
Arrondissement de Lannion,48.75,-3.42,48.2,81,0,8.05,FR,1604348467
Umluj,25.02,37.27,79.92,71,96,7.7,SA,1604348467
Tateyama,34.98,139.87,60.8,93,75,8.05,JP,1604348467
Sangmélima,2.93,11.98,69.42,94,89,1.74,CM,1604348468
Vardø,70.37,31.11,39.2,86,75,26.4,NO,1604348468
Huanren,41.26,125.37,27.86,81,23,4.72,CN,1604348468
Korla,41.76,86.15,37.27,70,1,1.61,CN,1604348470
Yanam,16.73,82.22,76.68,79,15,2.51,IN,1604348470
Kavaratti,10.57,72.64,82.29,69,0,4.74,IN,1604348471
Anloga,5.79,0.9,80.6,78,20,3.36,GH,1604348471
Vao,-22.67,167.48,74.5,91,100,8.61,NC,1604348472
Daloa,6.88,-6.45,72.86,92,58,2.64,CI,1604348472
Sainte-Anne-des-Monts,49.12,-66.49,37.4,93,100,26.4,CA,1604348472
Golden,39.76,-105.22,75,11,5,5.82,US,1604348472
Kamina,-8.74,24.99,64.4,91,100,5.84,CD,1604348473
Xiongzhou,25.12,114.3,58.51,73,80,2.46,CN,1604348473
Gorontalo,0.54,123.06,74.7,72,74,2.37,ID,1604348474
Pánuco,22.05,-98.17,78.8,57,75,9.17,MX,1604348474
Mezhdurechensk,53.69,88.06,33.24,94,100,1.77,RU,1604348475
Valea Salciei,45.5,26.83,46.4,75,75,4.7,RO,1604348476
Puqi,29.72,113.88,54.77,66,1,3.67,CN,1604348476
Tegul'det,57.31,88.17,29.98,98,100,6.67,RU,1604348476
Galle,6.04,80.22,78.89,81,89,6.08,LK,1604348477
Bullhead City,35.15,-114.57,90,8,75,14.99,US,1604348384
Tilichiki,60.47,166.1,29.21,99,99,1.05,RU,1604348477
Vanavara,60.34,102.28,28.96,98,100,8.46,RU,1604348478
Anáhuac,27.23,-100.15,75.2,27,5,5.5,MX,1604348478
Podor,16.65,-14.96,93.4,11,100,7.2,MR,1604348478
Myanaung,18.28,95.32,75.22,92,0,1.39,MM,1604348479
Shar,49.59,81.05,34.39,90,71,3.69,KZ,1604348479
Pangnirtung,66.15,-65.71,15.8,56,20,3.36,CA,1604348479
Harar,9.31,42.13,56.26,57,0,3.85,ET,1604348479
Tadine,-21.55,167.88,77.02,83,100,11.54,NC,1604348480
Valparai,10.37,76.97,78.8,94,40,1.52,IN,1604348480
Pokhara,28.23,83.98,64.56,45,0,5.73,NP,1604348480
Basco,20.45,121.97,79.34,76,100,29.28,PH,1604348481
Chicama,-7.84,-79.15,68,72,40,9.17,PE,1604348481
Port Macquarie,-31.43,152.92,59,75,70,1.99,AU,1604348482
El Salvador,13.83,-88.92,87.8,57,0,17.22,SV,1604348205
Kisesa,-3.08,34.15,73.18,48,37,4.99,TZ,1604348482
Panino,51.65,40.13,48.2,100,90,13.42,RU,1604348408
Albanel,48.88,-72.45,26.6,53,96,20.8,CA,1604348483
Beloha,-25.17,45.05,69.4,80,1,13.35,MG,1604348484
Departamento de Maldonado,-34.67,-54.92,68,64,20,11.41,UY,1604348484
Khlevnoye,52.2,39.09,48.2,100,90,13.42,RU,1604348484
Horodenka,48.67,25.5,50,78,100,3.13,UA,1604348485
Tigil',57.8,158.67,30.88,91,100,6.69,RU,1604348485
College,64.86,-147.8,-9.4,76,90,4.7,US,1604348315
San Miguel de Tucumán,-26.82,-65.22,89.6,22,20,9.17,AR,1604348287
Port Augusta,-32.5,137.77,66.2,45,2,9.17,AU,1604348486
Vanimo,-2.67,141.3,78.44,79,100,4.23,PG,1604348486
Vestmannaeyjar,63.44,-20.27,43.79,73,97,31.83,IS,1604348380
St. George's,12.06,-61.75,86,70,20,23.04,GD,1604348351
Mujiayingzi,42.12,118.78,21.7,72,0,9.57,CN,1604348487
Zadar,44.12,15.24,48.2,100,97,1.12,HR,1604348488
Iisalmi,63.56,27.19,41,93,90,25.28,FI,1604348488
Stokmarknes,68.56,14.91,46.4,93,75,11.41,NO,1604348489
Alekseyevsk,57.84,108.35,22.55,94,100,10.94,RU,1604348489
Nome,64.5,-165.41,16,77,75,4.7,US,1604348306
Tsogni,-2.79,10.1,74.03,94,29,1.25,GA,1604348489
Tsuyama,35.05,134,50,96,0,3.6,JP,1604348490
Mehrān,33.12,46.16,57.2,35,75,2.24,IR,1604348490
Holland,42.79,-86.11,46.99,45,1,21.92,US,1604348441
Rudnichnyy,59.62,52.47,25.57,97,0,2.86,RU,1604348491
Knysna,-34.04,23.05,60.8,100,90,3.36,ZA,1604348492
Agadez,19.75,10.25,72.12,23,0,7.65,NE,1604348492
Kundla,21.33,71.3,75.87,28,0,7.92,IN,1604348492
Taltal,-25.4,-70.48,64.13,57,22,7.49,CL,1604348493
Buta,2.79,24.73,72.66,94,100,0.94,CD,1604348493
Lillesand,58.25,8.38,50,81,84,10.29,NO,1604348494
Palmer,42.16,-72.33,37.99,37,20,23.04,US,1604348494
Ambovombe,-25.17,46.08,68.58,84,0,8.86,MG,1604348494
Terrace,54.52,-128.6,48.2,93,75,18.34,CA,1604348494
Upington,-28.45,21.26,80.6,18,0,5.82,ZA,1604348495
Palembang,-2.92,104.75,75.63,93,100,0.43,ID,1604348495
Maumere,-8.62,122.21,80.11,76,100,4.05,ID,1604348496
Husavik,66.04,-17.34,41,48,75,14.99,IS,1604348496
Epanomí,40.43,22.93,63,76,20,4.7,GR,1604348496
Marovoay,-16.1,46.63,77,88,40,2.24,MG,1604348497
Vermillion,42.78,-96.93,66.99,22,1,4.7,US,1604348497
Moindou,-21.69,165.68,75.2,73,0,2.24,NC,1604348498
Parrita,9.52,-84.32,73.4,83,75,9.17,CR,1604348498
Mananara,-16.17,49.77,66.78,83,6,4.43,MG,1604348498
Rizhao,35.43,119.46,43.88,54,0,7.29,CN,1604348499
Tessalit,20.2,1.01,75.96,18,100,9.69,ML,1604348499
Santa Isabel Rio Negro,-0.41,-65.02,90.57,54,98,1.12,BR,1604348499
Pangkalanbuun,-2.68,111.62,74.7,97,100,1.66,ID,1604348499
Campbell River,50.02,-125.24,51.8,76,90,6.93,CA,1604348500
Mount Isa,-20.73,139.5,75.2,19,0,6.93,AU,1604348500
North Myrtle Beach,33.82,-78.68,55.99,28,1,12.75,US,1604348301
Orlik,52.52,99.83,17.42,86,100,2.17,RU,1604348502
Greenville,35.61,-77.37,52,32,1,10.29,US,1604348439
Touros,-5.2,-35.46,84.2,66,40,20.8,BR,1604348502
Hammerfest,70.66,23.68,41,87,40,42.5,NO,1604348502
Forsytheganj,52.63,29.73,40.62,93,22,3.31,BY,1604348503
Bukama,-9.2,25.85,72.39,79,100,1.57,CD,1604348503
Corn Island,12.17,-83.04,81.72,78,100,17.16,NI,1604348503
Payson,40.04,-111.73,70,40,20,3.78,US,1604348265
Petropavlovskoye,52.07,84.11,33.75,92,100,3.6,RU,1604348504
Sondershausen,51.37,10.87,64.99,74,21,5.99,DE,1604348505
Kulaman,6.46,124.09,78.42,67,100,2.91,PH,1604348505
Mocuba,-16.84,36.99,74.05,78,100,4.21,MZ,1604348505
Havre-St-Pierre,50.23,-63.6,44.6,100,90,10.29,CA,1604348506
Bandarbeyla,9.49,50.81,78.12,81,38,21.34,SO,1604348506
Port-Gentil,-0.72,8.78,78.8,88,20,8.05,GA,1604348506
Antofagasta,-23.65,-70.4,62.6,63,20,16.11,CL,1604348507
Ürümqi,43.8,87.6,35.6,64,0,4.47,CN,1604348507
Kamenka,51.32,42.77,43,91,47,9.8,RU,1604348508
Mutoko,-17.4,32.23,71.33,48,0,7.52,ZW,1604348508
Merauke,-8.47,140.33,79.93,84,100,10.27,ID,1604348509
Deputatsky,69.3,139.9,-14.49,82,0,3.15,RU,1604348509
Domoni,-12.26,44.53,75.09,82,13,5.17,KM,1604348510
Thunder Bay,48.4,-89.32,51.8,40,75,17.22,CA,1604348437
Nichinan,31.6,131.37,62.29,85,56,4.9,JP,1604348511
Svobodnyy,51.4,128.13,16.43,92,100,16.64,RU,1604348511
Lensk,60.73,114.93,9.18,85,100,4.16,RU,1604348512
Yichun,47.7,128.9,18.57,93,100,8.63,CN,1604348512
Galveston,29.37,-94.97,70,40,1,13.87,US,1604348256
Sítio Novo do Tocantins,-5.52,-47.46,80.6,78,20,5.82,BR,1604348512
Landau,49.21,8.11,66.99,80,16,4,DE,1604348513
Vestmanna,62.16,-7.17,44.6,75,10,18.34,FO,1604348513
Devils Lake,48.11,-98.87,60.8,38,1,12.75,US,1604348514
Egvekinot,66.32,-179.17,10.8,87,72,1.41,RU,1604348514
Pisco,-13.7,-76.22,66.2,77,90,6.93,PE,1604348515
Karoi,-16.81,29.69,71.33,53,0,7.43,ZW,1604348515
Portland,45.52,-122.68,64,44,1,5.82,US,1604348329
Sola,-13.88,167.55,78.6,83,100,11.61,VU,1604348516
Pyapon,16.28,95.68,75.54,93,0,4.63,MM,1604348516
Provincia di Imperia,43.97,7.78,61,93,75,3.36,IT,1604348518
Bonthe,7.53,-12.51,79.43,80,54,3.94,SL,1604348518
Antakya,36.21,36.16,64.4,93,40,5.82,TR,1604348519
Timizart,36.8,4.27,64.11,50,0,4.14,DZ,1604348519
Zhuhai,22.28,113.57,73.4,69,0,19.46,CN,1604348520
Raglan,-37.8,174.88,69.01,56,100,5.99,NZ,1604348520
Nelson Bay,-32.72,152.15,59,93,90,6.93,AU,1604348521
Dondo,-19.61,34.74,77,78,20,9.17,MZ,1604348521
Igarka,67.47,86.58,12.88,96,98,8.81,RU,1604348521
Vostok,46.49,135.88,21.87,98,99,5.06,RU,1604348522
Adeje,28.12,-16.73,73,73,20,18.34,ES,1604348522
Inuvik,68.35,-133.72,1.4,77,76,4.7,CA,1604348522
Gamba,-2.65,10,74.73,92,33,1.9,GA,1604348523
Santa Fe,-31.63,-60.7,86,24,0,7,AR,1604348408
Daru,-9.08,143.21,80.24,86,100,13.04,PG,1604348523
Minsk,53.9,27.57,41,93,90,8.95,BY,1604348270
Strezhevoy,60.73,77.59,28.4,92,75,6.71,RU,1604348525
Cockburn Town,21.46,-71.14,84.2,66,40,11.41,TC,1604348526
Flin Flon,54.77,-101.86,37.4,86,75,4.7,CA,1604348526
Port Hedland,-20.32,118.57,71.6,88,9,11.41,AU,1604348527
Khrebtovaya,56.7,104.25,23.16,91,100,10.63,RU,1604348527
Luba,3.46,8.55,75.2,100,20,2.24,GQ,1604348527
Sibolga,1.74,98.78,76.64,79,79,3.22,ID,1604348528
Lysyye Gory,51.55,44.84,41.41,76,100,4.94,RU,1604348409
Belaya Gora,68.53,146.42,-13.5,81,0,8.52,RU,1604348528
Athabasca,54.72,-113.29,55.4,47,100,4.7,CA,1604348529
Nurota,40.56,65.69,41,32,0,6.93,UZ,1604348529
Tambovka,50.1,128.05,14,78,75,8.95,RU,1604348530
Guozhen,34.37,107.36,50.77,44,100,3,CN,1604348530
Staritsa,56.51,34.94,41.63,94,34,7.02,RU,1604348531
Shimoda,34.67,138.95,55,95,100,4.59,JP,1604348531
Buala,-8.14,159.59,81.14,80,100,7.54,SB,1604348532
Sioux Lookout,50.1,-91.92,41,65,75,11.41,CA,1604348532
Haines Junction,60.75,-137.51,6.8,55,97,9.17,CA,1604348532
São Francisco,-15.95,-44.86,77.5,70,68,8.32,BR,1604348534
Marsá Maţrūḩ,31.35,27.25,68,68,40,5.82,EG,1604348534
La Tuque,47.43,-72.78,28.4,46,4,18.34,CA,1604348534
Krasnoarmeysk,51.02,45.7,46,73,58,4,RU,1604348535
Erciş,39.03,43.36,55.4,43,75,11.41,TR,1604348535
